"flags","name"
🇦🇩,ad
🇦🇪,ae
🇦🇫,af
🇦🇮,ai
🇦🇱,al
🇦🇲,am
🇦🇴,ao
🇦🇷,ar
🇦🇸,as
🇦🇹,at
🇦🇺,au
🇦🇼,aw
🇦🇿,az
🇧🇧,bb
🇧🇩,bd
🇧🇪,be
🇧🇫,bf
🇧🇬,bg
🇧🇭,bh
🇧🇮,bi
🇧🇯,bj
🇧🇲,bm
🇧🇳,bn
🇧🇴,bo
🇧🇷,br
🇧🇹,bt
🇧🇼,bw
🇧🇾,by
🇧🇿,bz
🇨🇦,ca
🇨🇫,cf
🇨🇭,ch
🇨🇰,ck
🇨🇱,cl
🇨🇲,cm
🇨🇳,cn
🇨🇴,co
🇨🇷,cr
🇨🇺,cu
🇨🇼,cw
🇨🇽,cx
🇨🇾,cy
🇨🇿,cz
🇩🇪,de
🇩🇯,dj
🇩🇰,dk
🇩🇲,dm
🇩🇴,do
🇩🇿,dz
🇪🇨,ec
🇪🇪,ee
🇪🇬,eg
🇪🇷,er
🇪🇸,es
🇪🇹,et
🇫🇮,fi
🇫🇯,fj
🇫🇴,fo
🇫🇷,fr
🇬🇦,ga
🇬🇧,gb
🇬🇩,gd
🇬🇪,us
🇬🇫,gf
🇬🇭,gh
🇬🇮,gi
🇬🇱,gl
🇬🇳,gn
🇬🇵,gp
🇬🇶,gq
🇬🇷,gr
🇬🇹,gt
🇬🇺,gu
🇬🇼,gw
🇬🇾,gy
🇭🇳,hn
🇭🇷,hr
🇭🇹,ht
🇭🇺,hu
🇮🇨,es
🇮🇩,id
🇮🇪,ie
🇮🇱,il
🇮🇲,im
🇮🇳,in
🇮🇶,iq
🇮🇷,ir
🇮🇸,is
🇮🇹,it
🇯🇪,je
🇯🇲,jm
🇯🇴,jo
🇯🇵,jp
🇰🇪,ke
🇰🇬,kg
🇰🇭,kh
🇰🇮,ki
🇰🇲,km
🇰🇵,kp
🇰🇷,kr
🇰🇼,kw
🇰🇾,ky
🇰🇿,kz
🇱🇦,la
🇱🇧,lb
🇱🇮,li
🇱🇰,lk
🇱🇷,lr
🇱🇸,ls
🇱🇹,lt
🇱🇺,lu
🇱🇻,lv
🇱🇾,ly
🇲🇦,ma
🇲🇨,mc
🇲🇩,md
🇲🇪,me
🇲🇫,us
🇲🇬,mg
🇲🇭,mh
🇲🇱,ml
🇲🇳,mn
🇲🇵,mp
🇲🇶,mq
🇲🇷,mr
🇲🇸,ms
🇲🇹,mt
🇲🇺,mu
🇲🇻,mv
🇲🇼,mw
🇲🇽,mx
🇲🇾,my
🇲🇿,mz
🇳🇦,na
🇳🇨,nc
🇳🇪,ne
🇳🇫,nf
🇳🇬,ng
🇳🇮,ni
🇳🇱,nl
🇳🇴,no
🇳🇵,np
🇳🇷,nr
🇳🇺,nu
🇳🇿,nz
🇴🇲,om
🇵🇦,pa
🇵🇪,pe
🇵🇫,pf
🇵🇬,pg
🇵🇭,ph
🇵🇰,pk
🇵🇱,pl
🇵🇳,pn
🇵🇷,pr
🇵🇹,pt
🇵🇼,pw
🇵🇾,py
🇶🇦,qa
🇷🇴,ro
🇷🇸,rs
🇷🇺,ru
🇷🇼,rw
🇸🇦,sa
🇸🇧,sb
🇸🇨,sc
🇸🇩,sd
🇸🇪,se
🇸🇬,sg
🇸🇭,us
🇸🇮,si
🇸🇰,sk
🇸🇱,sl
🇸🇲,sm
🇸🇳,sn
🇸🇴,so
🇸🇷,sr
🇸🇸,ss
🇸🇻,sv
🇸🇽,sx
🇸🇾,sy
🇹🇦,sh
🇹🇩,td
🇹🇬,tg
🇹🇭,th
🇹🇯,tj
🇹🇱,tl
🇹🇲,tm
🇹🇳,tn
🇹🇴,to
🇹🇷,tr
🇹🇻,tv
🇹🇼,tw
🇹🇿,tz
🇺🇦,ua
🇺🇬,ug
🇺🇸,us
🇺🇾,uy
🇺🇿,uz
🇻🇦,va
🇻🇪,ve
🇻🇬,vg
🇻🇮,vi
🇻🇳,vn
🇻🇺,vu
🇼🇸,ws
🇽🇰,xk
🇾🇪,ye
🇾🇹,yt
🇿🇦,za
🇿🇲,zm
🇿🇼,zw
